run	ckpt_a	ckpt_b	acc_a	acc_b	acc_delta	global_block	stage	block	head	js_divergence	cosine_distance	topk_overlap_change	entropy_a	entropy_b	entropy_delta	oscillation_score
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	9	7.928093451496505e-05	6.866200952926338e-05	0.00510204081632653	2.6726489081699527	2.669400179038818	0.00324872913113472	0.005574856673484231
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	10	7.95722956617388e-05	8.08040009931954e-05	0.00510204081632653	2.837993613289441	2.8415171383820246	0.0035235250925835793	0.0056147696222398225
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	11	4.995462999193057e-05	0.00015984171775373923	0.05612244897959184	3.7355340657671476	3.736435258580559	0.0009011928134112779	0.05642236460867864
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	0	9.950834868125714e-05	8.705111652484998e-05	0.01020408163265306	2.716614439229035	2.7200055306530113	0.0033910914239765333	0.010729750240256821
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	1	0.00013676226581270013	6.553612539694775e-05	0.0	2.4394428949991727	2.4573147902350523	0.01787189523587962	0.00198948791479761
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	2	9.599425696033626e-05	7.599884352771369e-05	0.00510204081632653	2.675961827562855	2.6766441305796542	0.0006823030167990574	0.005342264218494486
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	3	3.3270008159238074e-05	9.024743115215728e-05	0.015306122448979591	3.6139053382348365	3.613715490398219	0.00018984783661757376	0.015448624671952743
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	4	0.00010118839842162774	0.0002461161096125597	0.015306122448979591	3.5959805148522856	3.598713847720377	0.0027333328680914093	0.01592676024382292
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	5	8.366142890329635e-05	5.960533145565883e-05	0.015306122448979591	2.226421365802249	2.224822401800241	0.0015989640020079854	0.015609285609539347
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	6	0.0001109054555591936	0.00024469830229389977	0.03571428571428571	3.4841693412470187	3.485632993742206	0.0014636524951874286	0.03621625472165755
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	7	6.978518805740824e-05	0.00014549888078851936	0.030612244897959183	3.392691533536653	3.3931159236339163	0.0004243900972631387	0.030869967976531427
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	8	5.914677291758423e-05	9.024210607633254e-05	0.015306122448979591	3.1141026177821307	3.1150193856999566	0.0009167679178259114	0.015547188119756099
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	9	0.00011180048982513173	0.00023708298545410678	0.03571428571428571	3.4220799616305504	3.4236664594327615	0.0015864978022110954	0.03622181896978606
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	10	6.0200391841426954e-05	3.543624520618849e-05	0.0	2.044042601603601	2.044298618725162	0.00025601712156131384	0.00012123834920374683
