run	global_block	stage	block	head	mean_js	mean_cosine_distance	mean_topk_overlap_change	mean_entropy_delta	oscillation_score	spike_score	reversal_score	late_window_score	post_peak_drop_score	acc_up_corr	acc_down_corr	harmful_score	beneficial_score	custom_subset_token	stage_block_head
scheme_c	3	1	1	1	2.3304308732020115e-05	8.590260228767225e-06	0.0008503401360544217	0.004965895491449435	0.0013788242541601526	3.974663027008412	0.45454545454545453	0.0013788242541601526	1.5994872655439145e-05	0.12000476236779138	-0.12000476236779138	2.1024074511594	0.06143811050235798	3:1	1:1:1
scheme_c	3	1	1	2	2.2268016462031768e-05	2.9779182820932615e-05	0.004251700680272108	0.0023461449437360096	0.004538362373928673	2.319815207654391	0.36363636363636365	0.004538362373928673	0.0001484098857685149	-0.006829714504983929	0.006829714504983929	1.2592740692258153	0.004696243027139889	3:2	1:1:2
scheme_c	3	1	1	3	3.385806645978959e-05	7.296788588420644e-05	0.03358843537414965	0.0006805590981123396	0.03376331723630489	1.3650989572716405	0.6363636363636364	0.03376331723630489	0.0008150922633151904	0.1919880320451375	-0.1919880320451375	0.878955530971977	0.13148523251356092	3:3	1:1:3
scheme_c	3	1	1	4	1.8880925530942165e-05	1.2480299933152287e-05	0.0017006802721088435	0.0016221254442067012	0.0018942540419936078	2.900870102183416	0.7272727272727273	0.0018942540419936078	3.533952876490046e-05	0.05985372586769604	-0.05985372586769604	1.6342696972989663	0.03188468007388418	3:4	1:1:4
scheme_c	3	1	1	5	1.2230540414786795e-05	2.230356347820058e-05	0.004676870748299319	0.00042630041540840197	0.004754034893733147	2.1630170640899347	0.45454545454545453	0.004754034893733147	3.369825996723224e-05	0.32455684255216327	-0.32455684255216327	1.2001298948487682	0.16728733575136648	3:5	1:1:5
scheme_c	4	2	0	0	3.112452534138334e-05	2.4320748649618123e-05	0.0	0.0023457158655620924	0.00029001686054721073	3.033802914206662	0.5454545454545454	0.00029001686054721073	6.099650105406526e-06	0.222428123160535	-0.222428123160535	1.6535808900902462	0.11152225506419484	4:0	2:0:0
scheme_c	4	2	0	1	2.81727064821536e-05	4.362765369197071e-05	0.020408163265306124	0.0005387864800182977	0.020533842273482077	1.4971105955633444	0.5454545454545454	0.020533842273482077	0.0008133498784594359	-0.39432264206959344	0.39432264206959344	1.1058817814924442	0.021351933633694253	4:1	2:0:1
scheme_c	4	2	0	2	5.129031716506109e-05	0.00013434317976366664	0.02551020408163265	0.0010058368793716872	0.02579642126649855	1.9870434874746024	0.45454545454545453	0.02579642126649855	0.001219443275398602	-0.23781455808007312	0.23781455808007312	1.2563724753433787	0.027027149098748055	4:2	2:0:2
scheme_c	4	2	0	3	6.498370904307524e-05	0.00018942486573114703	0.04421768707482993	0.0006568660347675929	0.044537782253080915	1.4960698495705158	0.45454545454545453	0.044537782253080915	0.0009460102747765502	-0.049122207238804914	0.049122207238804914	0.9349718756951408	0.046237109107891895	4:3	2:0:3
scheme_c	4	2	0	4	2.7549364683603364e-05	8.894152083006406e-05	0.03741496598639456	0.0002787210556359036	0.037559328977471815	1.7698114291300127	0.36363636363636365	0.037559328977471815	0.0009091688255548351	0.35039944744576695	-0.35039944744576695	1.016916237418416	0.2147313254591793	4:4	2:0:4
scheme_c	4	2	0	5	3.15616449103759e-05	8.744968058573463e-06	0.002976190476190476	0.0012467204919443347	0.003141169138353859	1.746856204138177	0.6363636363636364	0.003141169138353859	0.00011249458550443508	-0.23775922220652507	0.23775922220652507	1.1550367867392188	0.003258886480202453	4:5	2:0:5
scheme_c	4	2	0	6	4.077599254295807e-05	1.0518193051941202e-05	0.006377551020408163	0.0021258981351748307	0.006641435019520545	1.5952262264469792	0.45454545454545453	0.006641435019520545	0.00017655181269030893	0.12367041223159558	-0.12367041223159558	0.9186059462418478	0.0688158806951402	4:6	2:0:6
scheme_c	4	2	0	7	2.899102204116877e-05	0.0001025473087637822	0.08418367346938777	0.00013377053348399373	0.0843285888535411	1.3328851921535405	0.5454545454545454	0.0843285888535411	0.0029949430429036666	-0.7125300890481769	0.7125300890481769	1.2556073263800687	0.08706558947268907	4:7	2:0:7
scheme_c	4	2	0	8	3.3603244919365404e-05	0.0001246223296022808	0.07865646258503402	0.0001670969882890209	0.07883139785838457	1.2966436798455807	0.2727272727272727	0.07883139785838457	0.0021090709544703892	0.21080775451753123	-0.21080775451753123	0.8040593533822533	0.18812267454314044	4:8	2:0:8
scheme_c	4	2	0	9	1.9514236274882343e-05	4.220564424630332e-05	0.016581632653061222	0.0015319251105456362	0.016796545044636974	1.5249240435062623	0.36363636363636365	0.016796545044636974	0.0005669603802514059	-0.29877460465516176	0.29877460465516176	1.021796089375957	0.017479470091289	4:9	2:0:9
scheme_c	4	2	0	10	4.09065429584969e-05	7.926074168727407e-06	0.0	0.0011165160667918987	0.00016048422380641417	1.8471503547429498	0.5454545454545454	0.00016048422380641417	2.7951145384269314e-06	-0.08350542978294903	0.08350542978294903	1.1018659844605354	0.0001658880153271488	4:10	2:0:10
scheme_c	4	2	0	11	2.958261350738651e-05	5.614188872062516e-06	0.002551020408163265	0.001091338886351471	0.002695351099177862	1.9532622160265305	0.45454545454545453	0.002695351099177862	3.6124686199429115e-05	0.023024000039000334	-0.023024000039000334	1.0931549473696491	0.014309805305927062	4:11	2:0:11
scheme_c	5	2	1	0	7.415264955433315e-05	0.0001242967702495823	0.010629251700680272	0.0010950705952458655	0.010937208180008776	1.4352832804012163	0.45454545454545453	0.010937208180008776	0.00039797600908393464	-0.4457904678639398	0.4457904678639398	1.0667457980172066	0.011356506285992335	5:0	2:1:0
scheme_c	5	2	1	1	4.937746641095036e-05	0.00013153322298983805	0.04039115646258503	0.0004077853658215336	0.04061284568856797	1.3866183922989972	0.6363636363636364	0.04061284568856797	0.0011169902604654604	-0.04536925758345564	0.04536925758345564	0.920234951038572	0.0423354718707182	5:1	2:1:1
scheme_c	5	2	1	2	4.131239450693002e-05	9.140729161303633e-05	0.013605442176870748	0.0010913390941389063	0.013847295772404603	1.4915660702947582	0.5454545454545454	0.013847295772404603	0.0004252939509041382	-0.10974809704274889	0.10974809704274889	0.9526367900799092	0.014473818737533568	5:2	2:1:2
scheme_c	5	2	1	3	5.557690946393681e-05	3.427915363272508e-05	0.003401360544217687	0.001721438055099685	0.0036633604128243173	2.8268152497287953	0.45454545454545453	0.0036633604128243173	0.00011473420664906482	-0.13386852262379123	0.13386852262379123	1.5980981753047814	0.003761588024635507	5:3	2:1:3
scheme_c	5	2	1	4	5.6070946377729624e-05	3.767536471223817e-05	0.0076530612244897975	0.0014565030477989849	0.00789245784035966	3.279610940859793	0.5454545454545454	0.00789245784035966	0.0005834680817593445	-0.46081969861126976	0.46081969861126976	2.0165814481571105	0.008151606356631777	5:4	2:1:4
scheme_c	5	2	1	5	5.729264554134603e-05	2.0332756656378976e-05	0.0055272108843537416	0.0024150406812671887	0.0058463403546781855	1.918838767969453	0.36363636363636365	0.0058463403546781855	0.00014341234757687333	0.002842745921857869	-0.002842745921857869	1.0567789222356627	0.007514663394302824	5:5	2:1:5
scheme_c	5	2	1	6	4.840652553613412e-05	7.84026268000985e-05	0.011904761904761904	0.0004454686815231386	0.01207611792525045	2.124239313232202	0.5454545454545454	0.01207611792525045	0.00028653037605545827	0.20274584709186375	-0.20274584709186375	1.2117276929633944	0.11413073076762215	5:6	2:1:6
scheme_c	5	2	1	7	2.172657323318989e-05	1.1369398589154237e-05	0.00042517006802721087	0.0006747416980371993	0.0005257402096532749	9.957436377461176	0.5454545454545454	0.0005257402096532749	2.4560114132616494e-06	0.09915698487558532	-0.09915698487558532	5.115617430299198	0.05013035385717719	5:7	2:1:7
scheme_c	5	2	1	8	3.271590265204806e-05	1.2573245076299052e-05	0.003401360544217687	0.00143808457798907	0.003590458149744941	2.865309011296315	0.5454545454545454	0.003590458149744941	6.851047017287673e-05	0.10386993299888492	-0.10386993299888492	1.5728868561250975	0.055686603261173806	5:8	2:1:8
scheme_c	5	2	1	9	8.745830751418283e-05	0.0002183446068306505	0.03231292517006802	0.0005666631202217628	0.03267539439643504	1.4157320264151603	0.5454545454545454	0.03267539439643504	0.0009294928947168662	-0.3081706456950147	0.3081706456950147	1.0349056179437712	0.033914105416230175	5:9	2:1:9
scheme_c	5	2	1	10	0.0001003771805292912	0.0001343510427776843	0.01913265306122449	0.0012541675136626962	0.01949279803589773	1.3281102285915813	0.45454545454545453	0.01949279803589773	0.0003850656811401615	0.06404756546485503	-0.06404756546485503	0.7989843579470548	0.052369869409995475	5:10	2:1:10
scheme_c	5	2	1	11	9.140034208443462e-05	0.00011247221097969902	0.012755102040816329	0.0013038607060852359	0.013089360664488984	1.58277559429396	0.45454545454545453	0.013089360664488984	0.0005040163032064072	-0.35599841886092903	0.35599841886092903	1.0980324329914235	0.013578724327808326	5:11	2:1:11
scheme_c	6	2	2	0	6.716511768226813e-05	0.00021372513678090863	0.029761904761904757	0.0008426560672025	0.03012706062308819	1.5437318985862059	0.36363636363636365	0.03012706062308819	0.0007425262638068195	-0.2962635976822267	0.2962635976822267	1.044257785582862	0.03108023150548258	6:0	2:2:0
scheme_c	6	2	2	1	0.0007207153713153936	0.0030195623365767235	0.06420068027210883	0.010300791582303534	0.06897103713823131	3.253336563628761	0.5454545454545454	0.06897103713823131	0.003279139249027288	-0.16985205467865508	0.16985205467865508	1.9287560917680646	0.07155138668890355	6:1	2:2:1
scheme_c	6	2	2	2	9.76368590614926e-05	0.0003141662194041106	0.05229591836734695	0.0007051596532302214	0.052778237411135555	1.4582038272280122	0.5454545454545454	0.052778237411135555	0.0018195433866167465	0.06223923725564078	-0.06223923725564078	0.9251747025549902	0.08657302106854259	6:2	2:2:2
scheme_c	6	2	2	3	3.607866303157749e-05	8.231802562841395e-05	0.03401360544217687	0.0006174283659269308	0.03419374496742956	1.347936656499269	0.45454545454545453	0.03419374496742956	0.0009552077183007391	-0.02511707506142656	0.02511707506142656	0.8382168092283829	0.03565933027199265	6:3	2:2:3
scheme_c	6	2	2	4	0.00010695151457933826	0.00028504898104895576	0.033588435374149656	0.0012041386170699164	0.034100849731484945	1.3627689868418766	0.45454545454545453	0.034100849731484945	0.000717281051990198	0.24826592689900098	-0.24826592689900098	0.8324034473993619	0.1600586535719782	6:4	2:2:4
scheme_c	6	2	2	5	2.193799770251212e-05	3.867449643314239e-05	0.006377551020408163	0.000734538417229961	0.006511617356266815	2.3871169997866453	0.6363636363636364	0.006511617356266815	0.000112119755304119	0.4513171105691989	-0.4513171105691989	1.3596093988039846	0.23267428249015684	6:5	2:2:5
scheme_c	6	2	2	6	3.841199757727032e-05	0.0001337549654818008	0.04931972789115646	0.0006138126955510895	0.04955327612377064	1.448311672645164	0.5454545454545454	0.04955327612377064	0.001575865822561999	-0.04376047951875185	0.04376047951875185	0.9384114128252301	0.05199941865079423	6:6	2:2:6
scheme_c	6	2	2	7	6.234410647406895e-05	6.441767522581225e-05	0.011054421768707483	0.0017015399509636338	0.011351337545503729	1.8627307775228916	0.45454545454545453	0.011351337545503729	3.840206072810675e-05	0.5461254666650183	-0.5461254666650183	1.0566305626367851	0.2851315181010383	6:7	2:2:7
scheme_c	6	2	2	8	7.660974466181578e-05	0.00015713991814508832	0.01998299319727891	0.0012650073449002781	0.020343243594575844	1.52491350739235	0.45454545454545453	0.020343243594575844	0.000648820178340228	0.12362827052712663	-0.12362827052712663	0.8989534516783055	0.08320823189328125	6:8	2:2:8
scheme_c	6	2	2	9	7.353487253528636e-05	6.113006295713208e-05	0.002551020408163265	0.0012434304819637736	0.002810028391852061	1.9802195517510615	0.6363636363636364	0.002810028391852061	0.0001490261064893636	-0.45155680749950655	0.45155680749950655	1.3784059830420974	0.002875358941577374	6:9	2:2:9
scheme_c	6	2	2	10	8.03456718260047e-05	8.632842206467613e-05	0.01615646258503401	0.001684312387316626	0.016491567917656356	1.5784273854947803	0.45454545454545453	0.016491567917656356	0.00034937247655526544	0.48156804384607904	-0.48156804384607904	0.9208386719414732	0.25833101418667537	6:10	2:2:10
scheme_c	6	2	2	11	5.2642718773909954e-05	0.0001715795915878208	0.06037414965986396	0.0011494613759878147	0.06071331810782445	1.3486519527947867	0.36363636363636365	0.06071331810782445	0.001555174411320585	-0.21804647479245606	0.21804647479245606	0.9416917360563113	0.06308965174067784	6:11	2:2:11
scheme_c	7	2	3	0	9.172441550149347e-05	7.849399109046325e-05	0.006802721088435375	0.00267454320652701	0.007240393815680032	1.5203377832996372	0.45454545454545453	0.007240393815680032	0.00017831565954316906	-0.09715968849428033	0.09715968849428033	0.9304596174693441	0.007560484400743691	7:0	2:3:0
scheme_c	7	2	3	1	0.00014289371573386432	6.0618513528704066e-05	0.00850340136054422	0.011346653122964753	0.009841578902103262	2.39806792713996	0.5454545454545454	0.009841578902103262	0.0003133110205421363	0.12465681302854549	-0.12465681302854549	1.346470469670494	0.07274022724170888	7:1	2:3:1
scheme_c	7	2	3	2	0.00010046011788380987	8.4488843738878e-05	0.011904761904761904	0.0023518238429194316	0.012324893250676537	1.6767788321200956	0.5454545454545454	0.012324893250676537	0.00032277035044342737	0.03402675016534231	-0.03402675016534231	0.9883942845676364	0.029877803300034554	7:2	2:3:2
