case	wbits	abits	metric	value
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.input_quant_fn.p95	0.4492737948894501
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.input_quant_fn.max	1.472028374671936
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_qkx_fn.numel	6762
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_qkx_fn.mean	0.09202917665243149
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_qkx_fn.std	0.03204609826207161
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_qkx_fn.min	0.029829267412424088
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_qkx_fn.p05	0.05329817160964012
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_qkx_fn.p50	0.08670954406261444
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_qkx_fn.p95	0.15084773302078247
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_qkx_fn.max	0.2742932438850403
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_v_fn.numel	4416
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_v_fn.mean	0.22605523467063904
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_v_fn.std	0.05910251662135124
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_v_fn.min	0.05082295835018158
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_v_fn.p05	0.13360390067100525
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_v_fn.p50	0.22886891663074493
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_v_fn.p95	0.3243477940559387
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_v_fn.max	0.4142766296863556
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_softmax_fn.numel	588
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_softmax_fn.mean	0.037311308085918427
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_softmax_fn.std	0.010354849509894848
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_softmax_fn.min	0.011809107847511768
