name	kind	stage	module	numel	attn_rel	full_rel	extra_rel	extra_over_full	full_minus_attn_rel	cos_attn_full	extra_l2	attn_l2	full_l2	base_l2	max_abs_extra
features.5.5.attn.v.bias	attn_qkv	features.5.5	features.5.5.attn.v	384	0.0009701729325329659	0.0005568079815443651	0.0006132257469842603	1.1013235573301494	-0.00041336495098860085	0.8100932121093969	0.0012419599806889892	0.0019648815505206585	0.0011276976438239217	2.025290012359619	0.00019253604114055634
features.7.1.attn.quan_a_v_fn.s	act_quant	features.7.1	features.7.1.attn.quan_a_v_fn	768	0.0007793293487674905	0.0007272815683738706	0.0005142452633270012	0.7070786414631717	-5.2047780393619875e-05	0.7691045453765657	0.0038073104806244373	0.005769909825176001	0.005384564399719238	7.403686046600342	0.0004921853542327881
features.5.5.attn.proj.input_quant_fn.s	act_quant	features.5.5	features.5.5.attn.proj.input_quant_fn	49	0.0006499236797350168	0.0005501625980529582	0.0004413808745337836	0.8022735025896774	-9.976108168205865e-05	0.7414937761470752	0.0007860204204916954	0.0011573978699743748	0.0009797412203624845	1.7808212041854858	0.0002706944942474365
features.5.5.attn.quan_a_qkx_fn.s	act_quant	features.5.5	features.5.5.attn.quan_a_qkx_fn	588	0.0011664461904234127	0.0011509598749538338	0.00038580157940076826	0.33519985170312144	-1.5486315469579127e-05	0.9446557286305406	0.0013548398856073618	0.004096271004527807	0.004041886888444424	3.5117530822753906	0.00017608702182769775
features.5.5.mlp.fc1.input_quant_fn.s	act_quant	features.5.5	features.5.5.mlp.fc1.input_quant_fn	14	0.0	0.0003308242799623639	0.0003308242799623639	1.0	0.0003308242799623639	0.0	0.0006445273174904287	0.0	0.0006445273174904287	1.948246717453003	0.0003522038459777832
features.5.5.norm2.bias	norm	features.5.5	features.5.5.norm2	384	0.0	0.0002837278641124382	0.0002837278641124382	1.0	0.0002837278641124382	0.0	0.0016748416237533092	0.0	0.0016748416237533092	5.9029860496521	0.0002905316650867462
features.5.5.attn.proj.bias	attn_proj	features.5.5	features.5.5.attn.proj	384	0.0004490958581855541	0.000261691553672301	0.000280970778315173	1.0736715586434789	-0.0001874043045132531	0.813553035762208	0.0013226830633357167	0.0021141397301107645	0.001231925212778151	4.707546710968018	0.00020509958267211914
features.5.5.norm1.bias	norm	features.5.5	features.5.5.norm1	384	0.0	0.0002800137663953451	0.0002800137663953451	1.0	0.0002800137663953451	0.0	0.0013330489164218307	0.0	0.0013330489164218307	4.760654926300049	0.00022398307919502258
features.5.5.attn.quan_a_v_fn.s	act_quant	features.5.5	features.5.5.attn.quan_a_v_fn	384	0.0006590373319549529	0.0006409051551716265	0.00026077324407802077	0.4068827375997451	-1.8132176783326424e-05	0.9198897507600224	0.0015262431697919965	0.0038571872282773256	0.0037510639522224665	5.852759838104248	0.0002466142177581787
features.5.5.mlp.fc2.bias	mlp	features.5.5	features.5.5.mlp.fc2	384	0.0	0.0002550486832874586	0.0002550486832874586	1.0	0.0002550486832874586	0.0	0.0010520064970478415	0.0	0.0010520064970478415	4.124728202819824	0.00017392635345458984
